"PID","Lot Frontage","Lot Area","Street","Alley","Lot Shape","Land Contour","Utilities","Lot Config","Land Slope","Neighborhood","Condition 1","Condition 2","Bldg Type","House Style","Overall Qual","Overall Cond","Year Built","Year Remod/Add","MS Zoning","Roof Style","Roof Matl","Exterior 1st","Exterior 2nd","Mas Vnr Type","Mas Vnr Area","Foundation","Heating","Central Air","Electrical","1st Flr SF","2nd Flr SF","Low Qual Fin SF","Kitchen AbvGr","TotRms AbvGrd","Functional","Fireplaces","Fireplace Qu","Paved Drive","Wood Deck SF","Open Porch SF","Enclosed Porch","3Ssn Porch","Screen Porch","Fence","MS SubClass","Sale Type","Sale Condition","SalePrice","Full Bath","Half Bath","Bedroom","Gr Liv Area","Mo Sold","Yr Sold","Garage Type","Garage Yr Blt","Garage Finish","Garage Cars","Garage Area","Garage Qual","Garage Cond","Pool Area","Pool QC","Bsmt Qual","Bsmt Exposure","Bsmt Cond","BsmtFin Type 1","BsmtFin SF 1","BsmtFin Type 2","BsmtFin SF 2","Bsmt Unf SF","Total Bsmt SF","Bsmt Full Bath","Bsmt Half Bath","Misc Feature","Misc Val","Exter Cond","Exter Qual","Kitchen Qual","Heating QC"
"905351045","0","1700","Pave","NA","Regular","HLS","AllPub","Inside","Gtl","Clear Creek","Norm","Normal","Twnhs","1.5Fin","7","5","1980","1981","A (agr)","Gable","CompShg","VinylSd","VinylSd","None","0","PConc","GasA","true","SBrkr","880","680","140","1","7","Typ","0","NA","Y","188","36","0","0","200","NA","150","WD ","Normal","148400","2","1","2","1700","4","2006","Basment","1980","Fin","1","450","Gd","TA","0","NA","Gd","Mn","TA","GLQ","397","Unf","0","33","430","1","false","NA","0","3-","2-","2-","3-"
"923400125","62","10441","Pave","NA","Regular","Lvl","AllPub","Inside","Gtl","Mitchell","Norm","Normal","1Fam","SFoyer","5","5","1992","1992","A (agr)","Gable","CompShg","HdBoard","Wd Shng","None","0","PConc","GasA","true","SBrkr","970","0","0","1","6","Typ","0","NA","Y","80","32","0","0","0","MnPrv","85","WD ","Normal","132000","1","0","3","970","7","2006","NA","0","NA","0","0","NA","NA","0","NA","NA","NA","NA","NA","0","NA","0","0","0","0","false","Shed","700","3-","3-","3-","3-"
"527328010","0","10464","Pave","NA","Slightly irregular","Lvl","AllPub","FR3","Gtl","Northwest Ames","Norm","Normal","1Fam","SFoyer","6","6","1980","1980","A (agr)","Gable","CompShg","HdBoard","HdBoard","BrkFace","130","CBlock","GasA","true","SBrkr","1102","0","0","1","5","Typ","1","TA","Y","140","22","0","0","0","NA","85","WD ","Normal","169000","1","0","2","1102","6","2006","Attchd","1980","RFn","2","582","TA","TA","0","NA","Gd","Av","TA","GLQ","850","Unf","0","138","988","1","false","NA","0","3-","3-","3-","3-"
"905108220","74","8740","Pave","NA","Slightly irregular","Lvl","AllPub","Inside","Gtl","Sawyer","Norm","Normal","1Fam","SFoyer","5","6","1982","1982","A (agr)","Hip","CompShg","HdBoard","HdBoard","None","0","CBlock","GasA","true","SBrkr","860","0","0","1","4","Typ","0","NA","Y","0","0","0","0","0","NA","85","WD ","Normal","137000","1","0","2","860","7","2009","Detchd","1996","Unf","2","528","TA","TA","0","NA","TA","Av","TA","ALQ","672","Unf","0","168","840","1","false","NA","0","3-","3-","3-","3-"
"923230120","50","6723","Pave","NA","Regular","Lvl","AllPub","Inside","Gtl","Mitchell","Norm","Normal","1Fam","SFoyer","5","7","1971","1971","A (agr)","Gable","CompShg","Wd Sdng","HdBoard","None","0","CBlock","GasA","true","SBrkr","796","0","0","1","5","Typ","0","NA","Y","129","0","0","0","0","GdWo","85","WD ","Normal","138000","1","0","2","796","9","2007","NA","0","NA","0","0","NA","NA","0","NA","NA","NA","NA","NA","0","NA","0","0","0","0","false","NA","0","3-","3-","3-","3-"
"923229040","72","9129","Pave","NA","Regular","Lvl","AllPub","Inside","Gtl","Mitchell","Norm","Normal","1Fam","SFoyer","5","5","1977","1977","A (agr)","Gable","CompShg","Plywood","Plywood","BrkFace","144","PConc","GasA","true","SBrkr","1008","0","0","1","4","Typ","1","Fa","Y","201","66","0","0","0","MnPrv","85","WD ","Normal","153500","1","0","1","1008","7","2007","Attchd","1977","Fin","2","678","TA","TA","0","NA","Gd","Av","TA","GLQ","923","Unf","0","0","923","1","false","NA","0","3-","3-","2-","3-"
"906225210","73","9069","Pave","NA","Regular","Lvl","AllPub","Inside","Gtl","Sawyer West","Norm","Normal","1Fam","SFoyer","6","6","1992","1992","A (agr)","Gable","CompShg","HdBoard","HdBoard","None","0","PConc","GasA","true","SBrkr","996","0","0","1","5","Typ","0","NA","Y","120","0","0","0","0","NA","85","WD ","Normal","147000","1","0","2","996","4","2010","Attchd","1992","Unf","2","564","TA","TA","0","NA","Gd","Av","TA","GLQ","747","Unf","0","189","936","1","false","NA","0","3-","3-","2-","1-"
"907227290","70","8445","Pave","NA","Regular","Lvl","AllPub","Corner","Gtl","College Creek","Norm","Normal","1Fam","SFoyer","5","7","1972","2007","A (agr)","Gable","CompShg","HdBoard","Wd Shng","None","0","CBlock","GasA","true","SBrkr","768","0","0","1","5","Typ","0","NA","Y","58","0","0","0","0","MnPrv","85","WD ","Normal","133000","1","0","2","768","3","2009","Detchd","1988","Unf","2","396","TA","TA","0","NA","Gd","Av","TA","GLQ","656","Unf","0","112","768","1","false","NA","0","3-","3-","3-","3-"
"923230200","50","7689","Pave","NA","Slightly irregular","Lvl","AllPub","Inside","Gtl","Mitchell","Norm","Normal","1Fam","SFoyer","5","8","1972","1972","A (agr)","Gable","CompShg","MetalSd","MetalSd","None","0","CBlock","GasA","true","SBrkr","796","0","0","1","4","Typ","0","NA","Y","138","0","0","0","0","MnPrv","85","WD ","Normal","131900","1","0","2","796","7","2009","Detchd","1998","Unf","1","336","TA","TA","0","NA","Gd","Av","TA","GLQ","720","BLQ","76","0","796","0","true","NA","0","3-","3-","3-","2-"
"534127140","0","8723","Pave","NA","Slightly irregular","Lvl","AllPub","Inside","Gtl","Northwest Ames","PosN","Normal","1Fam","SFoyer","6","6","1969","1969","A (agr)","Gable","CompShg","HdBoard","HdBoard","None","0","PConc","GasA","true","SBrkr","1082","0","0","1","6","Typ","0","NA","Y","160","0","0","0","0","NA","85","WD ","Normal","162500","1","0","3","1082","1","2007","Attchd","1969","Unf","2","480","TA","TA","0","NA","Gd","Av","TA","BLQ","973","Unf","0","0","973","1","false","NA","0","3-","3-","3-","1-"
